ID,Name,StreetAddr,City,State,ZIP,N_Units,LI_UNITS,
GAA20152015,MERIWETHER REDEVELOPMENT PHASE I,420 PARK ROAD,GRIFFIN,GA,30224-6831,84,0,
GAA20152020,POINT NORTH VILLAGE,2703 POINTE NORTH BLVD,ALBANY,GA,31721-1586,,0,
GAA20152021,RENAISSANCE PARK,205 MEMORIAL DRIVE,HINESVILLE,GA,31313,42,0,
GAA20152025,THE VIEW AKA MOUNTAINVIEW SENIOR,901 4TH ST,STONE MOUNTAIN,GA,30083-3001,80,0,
GAA20153002,BROADVIEW COVE,93 BROADVIEW LANE,BLUE RIDGE,GA,30513,60,60,
GAA20153003,EUREKA HEIGHTS,1060 W WASHINGTON AVE,ASHBURN,GA,31714-5602,56,0,
GAA20153004,FOREST MILL,1406 FOREST MILL LANE,WEST POINT,GA,31833,80,71,
GAA20153005,HEATHER HIGHLANDS,10 ED SMITH WAY,FRANKLIN SPRINGS,GA,30639,40,39,
GAA20153006,HORIZON SR VILLAGE,5335 WRIGHTSBORO RD,GROVETOWN,GA,30813-2800,68,0,
GAA20153007,LEGACY AT WALTON OAKS 2,602 FAIRHOPE ST,AUGUSTA,GA,30901-1916,62,62,
GAA20153008,OASIS AT SCHOLAR'S LANDING,134 JOHN HOPE DR SW,ATLANTA,GA,30314-4227,60,60,
GAA20153009,SAVANNAH GARDENS V,202 CRESCENT DRIVE,SAVANNAH,GA,31404,76,59,
GAA20153010,THE GARDENS,150 CHARLIE CORN DRIVE,YOUNG HARRIS,GA,30582,51,50,
GAA20153011,THE RESERVE AT HAMPTON,3460 HWY 341,FORT VALLEY,GA,31010,60,60,
GAA20160101,A.L. MILLER,2241 MONTPELIER AVE,MACON,GA,31204-4008,71,0,
GAA20160102,ABBINGTON TRAIL,3500 TRILLIUM DIRVE,POWDER SPRINGS,GA,30127,60,0,
GAA20160106,HEARTHSIDE TUCKER,4358 LYNBURN DR,TUCKER,GA,30084-4440,112,0,
GAA20160107,HIGHLAND ESTATES,161 WOODROW WILSON WAY NW,ROME,GA,30165,84,0,
GAA20160109,LEGACY AT WALTON PARK FKA SCHOOL STRT DEV,MIRANDA SANDERS 4862 SCHOOL ST,ACWORTH,GA,30101-4964,100,0,
GAA20160111,MASON MANOR,300 MASON MANOR PLACE,COMMERCE,GA,30530,48,0,
GAA20160112,MCRAE-HELENA ESTATES,7 INDUSTRIAL BLVD,MC RAE,GA,31055-3828,48,0,
GAA20160113,MILLS CREEK CROSSING,3175 MILLS CREEK CIRCLE,SCOTTDALE,GA,30079,200,0,
GAA20160114,NEWPORT TRACE APARTMENTS,101 LESTER RD,STATESBORO,GA,30458-4799,42,0,
GAA20160115,OLIVER PLACE,530 GRAY RD,PERRY,GA,31069-2810,100,0,
GAA20160116,PARK SENIOR VILLAGE,211 PARK STREET,LEESBURG,GA,31763,50,0,
GAA20160117,PROVIDENCE AT PARKWAY VILLAGE,5095 SOUTHWOOD RD,FAIRBURN,GA,30213-2037,150,0,
GAA20160118,REYNOLDSTOWN SENIOR RESIDENCES,695 FIELD STREET SE,ATLANTA,GA,30316-1290,69,0,
GAA20160119,ROYAL OAKS FKA/ LIBERTY PLACE,939 PINELAND AVE,HINESVILLE,GA,31313-5193,72,0,
GAA20160120,SILVER LAKES,555 FIFTH ST,MADISON,GA,30650-1047,44,0,
GAA20160122,SOUTWESTERN ESTATES,900 SOUTHWESTERN CIRCLE,AMERICUS,GA,31709,64,0,
GAA20160124,SUMMER BREEZE PARK,14 SUMMER BREEZE LANE,RINGGOLD,GA,30736,72,0,
GAA20160125,GROVES PLACE,2840 RAINWATER RD,TIFTON,GA,31793-5701,56,0,
GAA20160126,TRINITY WALK,421 W TRINITY PL,DECATUR,GA,30030-3022,69,0,
GAA20160127,TOBIE GRANT SENIOR,560 PARKDALE DR,SCOTTDALE,GA,30079-1410,100,0,
GAA20160128,WATER TOWER PARK SR VILLAGE,140 SENIOR CENTER WAY,GRAY,GA,31032,72,0,
GAA20161004,CAMPBELL PLACE,320 CAMPBELL DR,CAMILLA,GA,31730-6309,52,0,
GAA20161005,CITY LIGHTS SENIORS,420 BOULEVARD NE,ATLANTA,GA,30308-2633,80,0,
GAA20161015,MECHANICSVILLE SCATTERED SITES,1718 PEACHTREE ST NW STE 684,ATLANTA,GA,30309-2496,74,0,
GAA20170001,ABBIE LANE PARK,1060 LEONARD BRIDGE RD,CHATSWORTH,GA,30705-5802,64,0,
GAA20170002,ASHLEIGH PLACE SENIOR APTS,11 PLANTATION WAY,RICHMOND HILL,GA,31324,80,0,
GAA20170003,BEAR CREEK VILLAGE,413 JAMES ST,ADEL,GA,31620-1533,56,0,
GAA20170006,BTW - CHAPMAN PHASE II,500 5TH AVENUE,COLUMBUS,GA,31901-3231,106,0,
GAA20170008,COLUMBIA BROOKSIDE III (PAULDOE REDEV III),1000 SUMMERBROOK CIRCLE,ATHENS,GA,30606,138,0,
GAA20170011,GRINER GARDENS,808 EDGEWOOD ST,NASHVILLE,GA,31639-1146,48,0,
GAA20170013,HITCH PHASE I,280 RANDOLPH STREET,SAVANNAH,GA,31401,72,0,
GAA20170014,HUNT SCHOOL,990 SHURLING DR,MACON,GA,31211-2041,60,0,
GAA20170017,PEACH ORCHARD,3630 PEACH ORCHARD RD,AUGUSTA,GA,30906-7200,240,240,
GAA20170018,PHOENIX HOUSE,1296 MURPHY AVE SW,ATLANTA,GA,30310-4002,69,0,
GAA20170019,POINTE NORTH VILLAGE II,3025 WEST POINTE COURT,ALBANY,GA,31707,46,0,
GAA20170020,RED OAK VILLAGE,770 ROCK QUARRY RD,STOCKBRIDGE,GA,30281-4347,60,0,
GAA20170021,RETREAT AT MILLS CREEK,3220 MILLS CREEK CIRCLE,SCOTTDALE,GA,30079,80,0,
GAA20170024,SAWMILL LANDING,SURRENCY STREET,PEMBROKE,GA,31321,60,0,
GAA20170026,SOUTH ROME APARTMENTS,2 ETOWAH TER SW,ROME,GA,30161-2956,84,0,
GAA20170027,SUMPTER STREET STATION,100 SUMTER WAY STE 1000,EATONTON,GA,31024,62,0,
GAA20170029,THE RESIDENCES AT WEST HAVEN,2700 EB HAMILTON DRIVE,TIFTON,GA,31793,49,0,
GAA20170030,TRINITY WALK PHASE II,421 W TRINITY PL,DECATUR,GA,30030-3022,52,0,
GAA20170031,VERANDA AT GROVEWAY,735 MYRTLE ST,ROSWELL,GA,30075-4559,102,0,
GAA20180001,ABBINGTON AT HAW CREEK,1455 BUFORD HIGHWAY #200,CUMMING,GA,30041,48,48,
GAA20180006,FREEDOM HEIGHTS,4301 BEMISS RD.,VALDOSTA,GA,31605,88,57,
GAA20180007,GRANITE CROSSING,6887 MAX CLELAND BLVD,LITHONIA,GA,30058,75,75,
GAA20180008,HIGHLAND TRACE,184 ADAIR CIRCLE,DAHLONEGA,GA,30533,80,80,
GAA20180013,LAKEVIEW GARDENS,2045 CASAMONICA DR,LAKE PARK,GA,31636-5153,80,80,
GAA20180014,MALLALIEU POINTE,2621 CHURCH STREET,EAST POINT,GA,30344,67,60,
GAA20180015,MANOR AT INDIAN CREEK,3904 DURHAM PARK RD.,STONE MOUNTAIN,GA,30080,94,94,
GAA20180017,MANOR AT INDIAN CREEK II,3884 DURHAM PARK RD,STONE MOUNTAIN,GA,30083-4635,94,75,
GAA20180018,MARKET STATION APARTMENTS,201 MARKET STREET,THOMASVILLE,GA,31792,80,0,
GAA20180020,PARK WEST,2961 LENORA CHURCH RD,SNELLVILLE,GA,30078-3605,71,71,
GAA20180021,PINE TRAILS,100 PINE TRAILS DR,WAYNESBORO,GA,30830-0109,60,51,
GAA20180022,PINEWOOD VILLAGE II APARTMENTS,755 S ROGERS STREET,POOLER,GA,31322,60,60,
GAA20180025,SENIOR RESIDENCES AT MERCY PARK,5124 PEACHTREE RD,CHAMBLEE,GA,30341-3015,79,79,
GAA20180026,TERRACES AT THE PARK,854 WESTBROOK STREET,GRIFFIN,GA,30224,68,68,
GAA20180027,THE EXCHANGE,839 EXCHANGE CIRCLE BLDG. 100,BETHLEHEM,GA,30620,120,117,
GAA20180031,THE PRESERVE AT NEWPORT,201 J NOLAN WELLS RD,KINGSLAND,GA,31548-6546,72,72,
GAA20180032,THE REMINGTON,954 HIGHTOWER RD NW,ATLANTA,GA,30318-4592,160,160,
GAA20180033,THE VIEW AT OGLETHORPE II AKA HITCH PHASE II,280 RANDOLPH ST,SAVANNAH,GA,31401-2974,100,80,
GAA20180035,TINDALL SENIORS TOWERS,1855 FELTON AVENUE,MACON,GA,31201,76,0,
GAA20180036,IRIS AT PARK POINTE,859 PARK POINTE DRIVE,GRIFFIN,GA,30224,85,85,
GAA20180037,VILLAGE OF BEN HILL,216 DEWEY MCGLAMY RD,FITZGERALD,GA,31750,80,80,
GAA20180038,VILLAGE ON PARK,908 WEST PARK STREET,HAHIRA,GA,31632,64,64,
GAA20190012,OAKVIEW WALK,1111 OAKVIEW RD,DECATUR,GA,30030-4215,34,27,
GAA20190016,THE BREAKERS AT TRION,14372 HIGHWAY 27,TRION,GA,30753-1561,68,51,
GAA20190017,THE GARDENS APARTMENTS,4193 CAVALIER DR,MACON,GA,31220-8354,100,80,
GAA20190020,WAYS STATION APARTMENTS,201 KROGER DR,RICHMOND HILL,GA,31324-6578,84,84,
GAA20191001,15TH STREET DEVELOPMENT 3,1550 15TH STREET,AUGUSTA,GA,30901,90,60,
GAA20191002,240 ATLANTA STREET,1100 GREEN HUNTER LANE,GAINESVILLE,GA,30501,78,52,
GAA20191008,CHANDLER TRACE APTS,420 CHANDLER STREET,HARTWELL,GA,30643,52,44,
GAA20191015,HAVENWOOD CARTERSVILLE,300 E FELTON ROAD,CARTERSVILLE,GA,30121,50,38,
GAA20191016,JEFFERSON GROVE,414 JEFFERSON BYPASS,NEWNAN,GA,30263,160,160,
GAA20191022,PRESERVES AT CHATHAM PKWY,1325 CHATMAN PARKWAY,SAVANNAH,GA,31405,144,144,
GAA20191027,STERLING AT CANDLER VILLAGE,2536 MELLVILLE AVE,DECATUR,GA,30032,170,0,
GAA20191032,WR REDEVELOPMENT PHASE I,1000 S ARMED FORCES BLVD,WARNER ROBINS,GA,31088,90,59,
GAA20200002,CLAFLIN SCHOOL,1532 5TH AVENUE,COLUMBUS,GA,31901-0000,44,44,
GAA20200003,ENCLAVE AT DEPOT PARK,2726 SOUTH MAIN STREET NORTHWEST,KENNESAW,GA,30144-0000,78,60,
GAA20200004,GROVE GARDENS,1925 GLENWOOD AVE,ATLANTA,GA,30316,70,66,
GAA20200005,MADISON HEIGHTS PHASE II,11015 TARA BOULEVARD,LOVEJOY,GA,30228-0000,120,81,
GAA20200008,THE WOODLANDS,2611 GILLIONVILLE ROAD,ALBANY,GA,31707-0000,80,56,
GAA20200009,TINDALL FIELDS II,985 PLANT STREET,MACON,GA,31201-0000,65,65,
GAA20200010,TOWN PARK COMMONS,619 TOWN PARK DRIVE,RINCON,GA,31326,60,60,
GAA20200011,WOOD MEADOW APARTMENTS,1133 COLDBROOK STATION CIRCLE,ATLANTA (FULTON),GA,31407-0000,80,72,
GAA20200012,WOODLANDS AT MONTGOMERY W,227 W MONTGOMERY CROSS ROAD,SAVANNAH,GA,31406-0000,246,246,
GAA20201001,ABBINGTON MANOR,4900 REGIONS DRIVE,ACWORTH,GA,30101-0000,0,0,
GAA20201002,ABBINGTON RESERVE,3051 LUMBY DRIVE,DECATUR,GA,30034-3830,0,0,
GAA20201003,ABBINGTON AT LINWOOD,10 PROBASCO STREET,LAFAYETTE,GA,30728-0000,0,0,
GAA20201005,ANTHEM SENIOR,1900 WAYCREST DRIVE,ATLANTA (FULTON),GA,30331-0000,0,0,
GAA20201008,AZALEA SENIOR VILLAGE,154 JEFFERSON AVENUE,HOSCHTON,GA,30548-0000,0,0,
GAA20201011,BRUNSWICK COMMONS,3470 CORAL PARK DRIVE,BRUNSWICK,GA,31520-3043,0,0,
GAA20201016,COLUMBIA FAYETTEVILLE APARTMENTS,2201 GLENWOOD AVENUE SOUTHEAST,ATLANTA (DEKALB),GA,30316-0000,108,75,
GAA20201017,CREEKSIDE AT ADAMSVILLE PLACE,"3718 MARTIN LUTHER KING, JR. DRIVE, SW",ATLANTA (FULTON),GA,30331-3600,0,0,
GAA20201018,DOGWOOD TRAIL,108 MARIE ROAD,ALBANY,GA,31705-0000,0,0,
GAA20201022,HARMONY AT CONYERS,"2001 WEST IRIS DRIVE, SE",CONYERS,GA,30013-0000,0,0,
GAA20201023,HAVENWD GROVE SR,550 INDIAN CREEK,LOCUST GROVE,GA,30248-3525,0,0,
GAA20201024,HIGHLAND TERRACE,705 35TH STREET,COLUMBUS,GA,31904-0000,0,0,
GAA20201026,HILLCREST SENIOR APARTMENTS,1847 STANTON ROAD,EAST POINT,GA,30310-5000,180,180,
GAA20201029,LEGACY VILLAS,"735 CONGO LANE, EASTMAN, GEORIGA, 31023",EASTMAN,GA,31023-7624,0,0,
GAA20201030,LIVE OAK LANDING,1212 WHEATON ST,SAVANNAH,GA,31404-0000,0,0,
GAA20201032,MAINSTREET WALTON MILL,698 SOUTH BROAD STREET,MONROE,GA,30655-0000,74,61,
GAA20201033,MCEACHERN VILLAGE,2236 OLD VILLA RICA ROAD,POWDER SPRINGS,GA,30127-1505,0,0,
GAA20201036,MYRTLE TERRACES 2,1326 MYRTLE ST,GAINESVILLE,GA,30501-4912,0,0,
GAA20201037,NORTHWINDS PLACE SENIOR LIVING,101 NORTHWINDS BLVD,CARROLLTON,GA,30117-2990,0,0,
GAA20201042,PEAKS OF OAKWOOD,3500 PEAKS CIRCLE,FLOWERY BRANCH,GA,30542-0000,0,0,
GAA20201043,PHOENIX LANDING,1200 WHITESVILLE STREET,LAGRANGE,GA,30240-0000,0,0,
GAA20201044,POINTE NORTH VILLAGE III,2711 POINTE NORTH BOULEVARD,ALBANY,GA,31721-1586,0,0,
GAA20201046,RENAISSANCE AT GARDEN WALK,639 GARDEN WALK BLVD,COLLEGE PARK (CLAYTON),GA,30349-6600,0,0,
GAA20201051,SCOTT BOULEVARD SR RESIDENCES,651 DECATUR VILLAGE WAY,DECATUR,GA,30033-5604,0,0,
GAA20201052,THE ADRIAN,1965 AUSTELL ROAD,MARIETTA,GA,30008-4365,0,0,
GAA20201058,TRANQUILITY AT GRIFFIN,2173 NORTH EXPRESSWAY,GRIFFIN,GA,30223-0000,0,0,
GAA20201059,TUPELO RIDGE AT HOUSTON LAKE,1131 SOUTH HOUSTON LAKE ROAD,WARNER ROBINS (HOUSTON),GA,31088-0000,0,0,
GAA20201063,WHITE CIRCLE PH. 3,1601 WHITE CIRCLE,MARIETTA,GA,30066-0000,0,0,
GAA20210002,ABBNGTN CHESHIRE BRDG,2070 CHESIRE BRIDGE ROAD NE,ATLANTA (FULTON),GA,30324-4242,48,40,
GAA20210003,ABBNGTN RIDGE,470 VALLEY STREET,BALL GROUND,GA,30107-4067,60,60,
GAA20210005,ASHBURY,2535 NORTH ASHLEY STREET,VALDOSTA,GA,31602-1821,76,76,
GAA20210008,COMP TEST 3,7373 TRUTH LANE,BLUE RIDGE,GA,30513-0000,52,52,
GAA20210009,COMP TEST 4,2008 BABY LANE,DECATUR,GA,30033-0000,48,48,
GAA20210010,COMP TEST1,60 EXECUTIVE PARK SOUTH,ATLANTA (DEKALB),GA,30327-0000,40,40,
GAA20210011,CREEKWOOD ESTATES,1820 MACON ROAD,PERRY (HOUSTON),GA,31069-0000,72,72,
GAA20210012,EBENEZER CRK CRSSG,450 MCCALL ROAD,SPRINGFIELD,GA,31329-4903,54,54,
GAA20210013,FLINT RIDGE,320 E OGLETHORPE BLVD,ALBANY,GA,31705-2708,54,54,
GAA20210014,GARDENS BLAIRSVILLE,83 CONLEY ROAD,BLAIRSVILLE,GA,30512-0000,72,67,
GAA20210015,GATEWAY POINTE II,900 S ARMED FORCES BOULEVARD,WARNER ROBINS (HOUSTON),GA,31088-4792,90,75,
GAA20210016,GROVE PARK,1426 MIDDLE SCHOOL ROAD,KINGSLAND,GA,31548-7018,75,75,
GAA20210017,HARMONY AT COVINGTON,11101 COVINGTON BYPASS RD,COVINGTON,GA,30014-0000,122,122,
GAA20210018,HAVENWOOD ELBERTON SENIOR,335 SOUTH OLIVER STREET,ELBERTON,GA,30635-2038,50,50,
GAA20210019,HAVENWOOD GARDENS,117 DAISY ADAMS ROAD,COCHRAN,GA,31014-2808,50,50,
GAA20210022,HERNDON HOMES SENIORS,464 CAMERON MADISON ALEXANDER BOULEVARD NW,ATLANTA (FULTON),GA,30318-0000,97,97,
GAA20210023,HIGHLANDS AT KAYNE BLVD,7660 KANYE BOULEVARD,COLUMBUS,GA,31909-2513,80,64,
GAA20210024,HOLLIE GROVE,301 3RD STREET SE,MOULTRIE,GA,31776-4718,47,47,
GAA20210025,LEGENDS OF COVINGTON,5188 CLARK STREET SW,COVINGTON,GA,30014-2747,198,198,
GAA20210026,LEGENDS OF STONECREST,6757 COVINGTON HWY,LITHONIA,GA,30058-4813,238,238,
GAA20210028,NCR AT ASH BRANCH,104 ASH BRANCH ROAD,PEMBROKE,GA,31321-0000,70,70,
GAA20210032,QUEST COMMONS WEST,891 ROCK STREET NORTHWEST,ATLANTA (FULTON),GA,30314-0000,53,47,
GAA20210034,ST. ANDREW'S CT,6050 WATSON BLVD,BYRON,GA,31008-6549,80,60,
GAA20210035,SYCAMORE HEIGHTS,743 SYCAMORE STREET,JEFFERSON,GA,30549-2518,64,64,
GAA20210038,THE PHOENIX,201 CHATHAM STREET,LAGRANGE,GA,30240-5313,76,76,
GAA20210039,TINDALL FIELDS III,985 PLANT STREET,MACON,GA,31201-2310,65,65,
GAA20210040,TOWN CENTER HEIGHTS 2,190 ROBERTS TRIAL,MARIETTA,GA,30066-0000,90,66,
GAA20210041,UNION LANDINGS,4712 FLAT SHOALS RD,UNION CITY,GA,30291-0000,240,240,
GAA20210042,VININGS SENIOR VILLAGE,2808 MOUNT WILKINSON PARKWAY SE,ATLANTA (COBB),GA,30339-0000,48,38,
GAA20210043,WESTOVER SENIOR VILLAGE,280 CAPSTONE CONNECTOR,LEESBURG,GA,31707-1275,46,46,
GAA20210044,WISTERIA PLACE OF HAMILTON MILL,2736 HAMILTON ROAD,BUFORD (GWINNETT),GA,30519-0000,100,70,
GAA20211019,HARTLAND STATION,2074 FLEET STREET,ATLANTA (FULTON),GA,30315-0000,131,131,
GAA20211035,PARKSIDE AT QUARRY YARDS,1314 DONALD LEE HOLLOWELL PARKWAY,ATLANTA (FULTON),GA,30318-5106,177,177,
GAA20211042,STARNES SENIOR,3543 CLARKSTON INDUSTRIAL BOULEVARD,CLARKSTON,GA,30021-0000,128,128,
GAA20211050,TRUE LIGHT HAVEN,1810 ANDERSON AVENUE,ATLANTA (FULTON),GA,30314-0000,124,124,
GAA20220002,ALTOVIEW TERRACE,410 EAST 14TH STREET,ROME,GA,30161-0000,66,66,
GAA20220003,ARBOURS AT COVINGTON,10660 GA HWY 36,COVINGTON,GA,30014-0000,180,180,
GAA20220004,ARBOURS AT KINGSLAND,821 SOUTH GROVE BLVD,KINGSLAND,GA,31548-0000,84,84,
GAA20220005,ASHLYNN RIDGE SENIOR,2001 NEWNAN CROSSING BLVD,NEWNAN,GA,30263-2986,202,202,
GAA20220006,CANAAN CROSSING,1180 WHEAT STREET,MADISON,GA,39837-6207,60,60,
GAA20220009,CREEKSIDE APARTMENTS,164 EMMANUEL HARRIS ROAD,MILLEDGEVILLE,GA,31061-8703,60,60,
GAA20220014,FLATS AT SAM LANE,92 SAM LANE,RINGGOLD,GA,30736-0000,72,72,
GAA20220015,GRAYSON RIDGE,1466 GRAYSON HWY,LAWRENCEVILLE,GA,30045-6308,240,240,
GAA20220016,GROVE PK GDNS,557 WEST LAKE AVENUE NW,ATLANTA (FULTON),GA,30318-6461,110,90,
GAA20220017,HARPER WOODS,6000 WARM SPRINGS ROAD,COLUMBUS,GA,31909-4312,96,86,
GAA20220018,HAVEN AT SOUTH ATLANTA,57 HARDWICK STREET SE,ATLANTA (FULTON),GA,30315-0000,84,71,
GAA20220020,HEARTHSIDE SMYRNA,4710 CAMP HIGHLAND ROAD,SMYRNA,GA,30082-0000,75,64,
GAA20220021,HERITAGE TOWNHOMES,SIX PARCELS: 7247 AND 7257 COVINGTON HWY; 2601 AND,LITHONIA,GA,30058-7629,240,240,
GAA20220022,HORIZON RIDGE FAMILY,2832 OLD HIGHWAY 1,HEPHZIBAH,GA,30815-0000,240,240,
GAA20220023,LEGACY AT WALTON TRIAL,490 OLD STONE RD,VILLA RICA (CARROLL),GA,30180-0000,90,90,
GAA20220025,MILL VILLAGE,120 20TH ST,COLUMBUS,GA,31901-1100,102,91,
GAA20220028,NORTHSIDE SENIOR VILLAGE,3568 NORTHSIDE DRIVE,MACON,GA,31210-0000,72,72,
GAA20220030,PEACHTREE CREEK ON PONCE,4692 E. PONCE DE LEON AVENUE,CLARKSTON,GA,30083-0000,188,188,
GAA20220031,PERRY PLACE,311 PERRY PLACE,BRUNSWICK,GA,31520-5408,56,56,
GAA20220032,PINEVIEW TRACE,5976 STATE HIGHWAY 115,VIENNA,GA,31092-1303,50,50,
GAA20220033,PRESERVE AT PEACHTREE SHOALS,2995 OLD PEACHTREE ROAD,DACULA,GA,30019-0000,240,240,
GAA20220034,SAVANNAH GARDENS PHASE VI,"2525 EAST GWINNETT STREET, SAVANNAH, GEORGIA, 3140",SAVANNAH,GA,31404-2535,85,81,
GAA20220035,STATION 496,496 BOULEVARD NE,ATLANTA (FULTON),GA,30308-2610,123,123,
GAA20220036,STONE TERRACE,6659 CHUPP ROAD,ATLANTA (FULTON),GA,30058-7633,239,239,
GAA20220037,STONE TERRACE II,6659 CHUPP ROAD,ATLANTA (FULTON),GA,30058-7633,84,84,
GAA20220038,SUNRISE VIEW (INDIAN CREEK FAMILY),1059 HOLCOMBE ROAD,DECATUR,GA,30032-0000,240,240,
GAA20220039,SUTTON TERRACE,5976 STATE HIGHWAY 115,CLARKESVILLE,GA,30523-0000,72,72,
GAA20220041,THE RESIDENCES AT NEWNAN CROSSING,2071 NEWNAN CROSSING BOULEVARD,NEWNAN,GA,30265-2354,74,74,
GAA20220042,THE VILLAGE AT CHICKAMAUGA II,125 ARROWHEAD DIARY LANE,CHICKAMAUGA,GA,30707-0000,60,60,
GAA20220043,THE VILLAGE ON 5TH,811 5TH STREET,AUGUSTA,GA,30901-2414,54,54,
GAA20220044,VININGS OF AUGUSTA,3696 PEACH ORCHARD ROAD,AUGUSTA,GA,30906-0000,122,122,
GAA20220045,WALTON HARBOR,320 TOWER HEIGHTS RD,GAINESVILLE,GA,30501-0000,81,81,
GAA20220046,WIMBERLY MANOR,165 EAST WRIGHT STREET,WINDER,GA,30680-2431,73,68,
"	",,,,,,,,